Approved symbol,Approved name,Chromosome,Locus type,Locus group,Ensembl gene ID,NCBI Gene ID
ABCC6P1,ATP binding cassette subfamily C member 6 pseudogene 1,16p12.3,pseudogene,pseudogene,ENSG00000256340,653190
ABCC6P2,ATP binding cassette subfamily C member 6 pseudogene 2,16p13.11,pseudogene,pseudogene,ENSG00000255277,730013
ABCC8,ATP binding cassette subfamily C member 8,11p15.1,gene with protein product,protein-coding gene,ENSG00000006071,6833
ABCC9,ATP binding cassette subfamily C member 9,12p12.1,gene with protein product,protein-coding gene,ENSG00000069431,10060
ABCC10,ATP binding cassette subfamily C member 10,6p21.1,gene with protein product,protein-coding gene,ENSG00000124574,89845
ABCC11,ATP binding cassette subfamily C member 11,16q12.1,gene with protein product,protein-coding gene,ENSG00000121270,85320
ABCC12,ATP binding cassette subfamily C member 12,16q12.1,gene with protein product,protein-coding gene,ENSG00000140798,94160
ABCC13,ATP binding cassette subfamily C member 13 (pseudogene),21q11.2,pseudogene,pseudogene,ENSG00000243064,150000
ABCD1,ATP binding cassette subfamily D member 1,Xq28,gene with protein product,protein-coding gene,ENSG00000101986,215
ABCD1P1,ATP binding cassette subfamily D member 1 pseudogene 1,2p11.2,pseudogene,pseudogene,,23785
ABCD1P2,ATP binding cassette subfamily D member 1 pseudogene 2,10p11.1,pseudogene,pseudogene,ENSG00000215151,26983
ABCD1P3,ATP binding cassette subfamily D member 1 pseudogene 3,16p11.2,pseudogene,pseudogene,ENSG00000261233,26982
ABCD1P4,ATP binding cassette subfamily D member 1 pseudogene 4,22q11.1,pseudogene,pseudogene,ENSG00000225293,26957
ABCD1P5,ATP binding cassette subfamily D member 1 pseudogene 5,2p11.1,pseudogene,pseudogene,ENSG00000214330,642762
ABCD2,ATP binding cassette subfamily D member 2,12q12,gene with protein product,protein-coding gene,ENSG00000173208,225
ABCD3,ATP binding cassette subfamily D member 3,1p21.3,gene with protein product,protein-coding gene,ENSG00000117528,5825
ABCD4,ATP binding cassette subfamily D member 4,14q24.3,gene with protein product,protein-coding gene,ENSG00000119688,5826
ABCE1,ATP binding cassette subfamily E member 1,4q31.21,gene with protein product,protein-coding gene,ENSG00000164163,6059
ABCF1,ATP binding cassette subfamily F member 1,6p21.33,gene with protein product,protein-coding gene,ENSG00000204574,23
ABCF1-DT,ABCF1 divergent transcript,6p21.33,"RNA, long non-coding",non-coding RNA,,107986587
ABCF2,ATP binding cassette subfamily F member 2,7q36.1,gene with protein product,protein-coding gene,ENSG00000033050,10061
ABCF2P1,ATP binding cassette subfamily F member 2 pseudogene 1,3p11.1,pseudogene,pseudogene,ENSG00000242159,344653
ABCF2P2,ATP binding cassette subfamily F member 2 pseudogene 2,7q11.22,pseudogene,pseudogene,ENSG00000228769,100422059
ABCF3,ATP binding cassette subfamily F member 3,3q27.1,gene with protein product,protein-coding gene,ENSG00000161204,55324
